scenario,replicate,planted_events,observed_events,test_events,clock_test_bits,clock_test_bits_per_event,clock_mdl_net_bits,selected_direction_horizon,selected_direction_polarity,direction_test_accuracy,direction_test_n,direction_mdl_net_bits,clock_family_recovered,clock_mdl_recovered,contrarian_family_recovered,exact_horizon_recovered
continuous_low_noise,97,420,420,115,36.17633561903116,0.31457683146983617,-42.22398598924621,5,contrarian,0.8347826086956521,115,37.63566696605594,True,False,True,True
continuous_low_noise,98,420,420,104,41.2823478130344,0.3969456520484077,-37.603569294648075,5,contrarian,0.9519230769230769,104,72.07021517564456,True,False,True,True
continuous_low_noise,99,420,420,105,38.02133334007757,0.36210793657216733,-40.82114283460158,5,contrarian,0.8952380952380953,105,51.18932050776532,True,False,True,True
censored_execution_noise,0,420,420,106,35.62635070810259,0.3360976481896471,-43.17254640636786,5,contrarian,0.839622641509434,106,35.66757547356607,True,False,True,True
censored_execution_noise,1,420,420,90,25.565470190327492,0.2840607798925277,-53.914590845007766,5,contrarian,0.8777777777777778,90,38.78564824133067,True,False,True,True
censored_execution_noise,2,420,420,95,32.25037801889955,0.3394776633568374,-47.0204331063007,5,contrarian,0.9052631578947369,95,49.051811125921205,True,False,True,True
censored_execution_noise,3,420,420,102,50.32007992877251,0.49333411694875007,-28.652308146428858,5,contrarian,0.8431372549019608,102,35.07138402328788,True,False,True,True
censored_execution_noise,4,420,420,98,32.264846662082704,0.32923312920492553,-46.87886368000616,5,contrarian,0.9081632653061225,98,51.6280356456998,True,False,True,True
censored_execution_noise,5,420,420,107,40.279498905394036,0.37644391500368257,-38.47568014046584,5,contrarian,0.8867924528301887,106,48.99133388265269,True,False,True,True
censored_execution_noise,6,420,420,110,55.95083961420313,0.5086439964927557,-22.672342235902136,5,contrarian,0.8818181818181818,110,49.34769354027302,True,False,True,True
censored_execution_noise,7,420,420,98,35.4330587934118,0.3615618244225694,-43.71065154867706,5,contrarian,0.826530612244898,98,29.77315381161997,True,False,True,True
censored_execution_noise,8,420,420,105,42.0950606572008,0.40090533959238855,-36.74741551747835,5,contrarian,0.8285714285714286,105,32.59895480985812,True,False,True,True
censored_execution_noise,9,420,420,114,43.34495288962205,0.38021888499668466,-35.10023161595814,5,contrarian,0.9210526315789473,114,65.57564275314313,True,False,True,True
censored_execution_noise,10,420,420,113,25.152429899911827,0.22258787522045864,-53.33747113110488,5,contrarian,0.831858407079646,113,36.1617520602098,True,False,True,True
censored_execution_noise,11,420,420,88,43.86304244953494,0.49844366419926067,-35.69983214826086,5,contrarian,0.8636363636363636,88,34.432058590284214,True,False,True,True
censored_execution_noise,12,420,420,89,42.22494484954955,0.47443758257920843,-37.29658551511901,5,contrarian,0.898876404494382,89,43.94329724796039,True,False,True,True
censored_execution_noise,13,420,420,119,36.24997853877803,0.3046216683930927,-41.969408390439135,5,contrarian,0.9159663865546218,119,66.46805851591331,True,False,True,True
censored_execution_noise,14,420,420,117,57.683684136872394,0.49302294134078967,-20.62646870612064,5,contrarian,0.8461538461538461,117,41.532283222584645,True,False,True,True
censored_execution_noise,15,420,420,99,45.7662888019112,0.46228574547385054,-33.33479132575067,5,contrarian,0.8282828282828283,99,30.499827292057283,True,False,True,True
censored_execution_noise,16,420,420,109,39.53739512285484,0.36272839562252146,-39.12992719338589,5,contrarian,0.8715596330275229,109,45.70716029956154,True,False,True,True
censored_execution_noise,17,420,420,121,48.03500773476902,0.396983534998091,-30.093008170112974,5,contrarian,0.8512396694214877,121,44.5857526156072,True,False,True,True
censored_execution_noise,18,420,420,122,44.38777062549379,0.3638341854548672,-33.69433031889674,5,contrarian,0.819672131147541,122,35.94315940482089,True,False,True,True
