model,fold,rule_type,rule_or_feature,coefficient,threshold,oos_f1,oos_precision
E1 completed-bar events,5,L1 logistic feature,event_cross_prior_high_20,0.034892453203135075,0.5533512412910051,0.002287166454891995,0.0011501597444089457
E1 completed-bar events,5,L1 logistic feature,event_cross_session_high,-0.08260627856935224,0.5533512412910051,0.002287166454891995,0.0011501597444089457
E1 completed-bar events,5,L1 logistic feature,event_cross_session_low,-0.0862556609921072,0.5533512412910051,0.002287166454891995,0.0011501597444089457
E1 completed-bar events,5,L1 logistic feature,event_cross_vwap,0.0015367447890731866,0.5533512412910051,0.002287166454891995,0.0011501597444089457
E1 completed-bar events,5,L1 logistic feature,event_cross_ema20,0.010540943194915943,0.5533512412910051,0.002287166454891995,0.0011501597444089457
E1 completed-bar events,5,L1 logistic feature,event_large_body_expansion,0.03295088738892315,0.5533512412910051,0.002287166454891995,0.0011501597444089457
E1 completed-bar events,5,L1 logistic feature,event_compression_to_expansion,-0.02695111200597695,0.5533512412910051,0.002287166454891995,0.0011501597444089457
E1 completed-bar events,5,L1 logistic feature,event_higher_low_break,0.3895223859353301,0.5533512412910051,0.002287166454891995,0.0011501597444089457
E1 completed-bar events,5,L1 logistic feature,event_lower_high_break,0.32348602232501333,0.5533512412910051,0.002287166454891995,0.0011501597444089457
E1 completed-bar events,5,L1 logistic feature,event_false_break_high,0.00030896308378703324,0.5533512412910051,0.002287166454891995,0.0011501597444089457
E1 completed-bar events,5,L1 logistic feature,event_false_break_low,0.06050594666881388,0.5533512412910051,0.002287166454891995,0.0011501597444089457
E1 completed-bar events,5,L1 logistic feature,event_impulse_pullback_cont_up,0.016849426778331116,0.5533512412910051,0.002287166454891995,0.0011501597444089457
E1 completed-bar events,5,L1 logistic feature,event_impulse_pullback_cont_down,-0.011679534332329081,0.5533512412910051,0.002287166454891995,0.0011501597444089457
E1 completed-bar events,5,L1 logistic feature,event_immediate_reversal,-0.35135988802164975,0.5533512412910051,0.002287166454891995,0.0011501597444089457
E1 completed-bar events,5,L1 logistic feature,event_count,0.02208864889424322,0.5533512412910051,0.002287166454891995,0.0011501597444089457
E1 completed-bar events,5,L1 logistic feature,event_range_expansion_strength,0.03189152945276736,0.5533512412910051,0.002287166454891995,0.0011501597444089457
E1 completed-bar events,5,L1 logistic feature,event_body_ratio,-0.09400690292292219,0.5533512412910051,0.002287166454891995,0.0011501597444089457
E1 completed-bar events,5,L1 logistic feature,event_bar_direction,-0.009214610168280095,0.5533512412910051,0.002287166454891995,0.0011501597444089457
E2 events + eligibility state,1,L1 logistic feature,event_cross_prior_high_10,-0.8217440190634182,0.9580037494565491,0.024,0.016483516483516484
E2 events + eligibility state,1,L1 logistic feature,event_cross_prior_low_10,0.04207768660715418,0.9580037494565491,0.024,0.016483516483516484
E2 events + eligibility state,1,L1 logistic feature,event_cross_prior_high_20,0.2718765681301775,0.9580037494565491,0.024,0.016483516483516484
E2 events + eligibility state,1,L1 logistic feature,event_cross_prior_low_20,-0.017215666777666883,0.9580037494565491,0.024,0.016483516483516484
E2 events + eligibility state,1,L1 logistic feature,event_cross_session_high,-0.5574717098401284,0.9580037494565491,0.024,0.016483516483516484
E2 events + eligibility state,1,L1 logistic feature,event_cross_session_low,-0.2928879275885712,0.9580037494565491,0.024,0.016483516483516484
E2 events + eligibility state,1,L1 logistic feature,event_cross_vwap,-0.014870196839501852,0.9580037494565491,0.024,0.016483516483516484
E2 events + eligibility state,1,L1 logistic feature,event_cross_ema20,-0.06211845851769899,0.9580037494565491,0.024,0.016483516483516484
E2 events + eligibility state,1,L1 logistic feature,event_large_body_expansion,0.037656084113718014,0.9580037494565491,0.024,0.016483516483516484
E2 events + eligibility state,1,L1 logistic feature,event_compression_to_expansion,0.05133725328363541,0.9580037494565491,0.024,0.016483516483516484
E2 events + eligibility state,1,L1 logistic feature,event_higher_low_break,0.5317200920328484,0.9580037494565491,0.024,0.016483516483516484
E2 events + eligibility state,1,L1 logistic feature,event_lower_high_break,-0.031585296636994054,0.9580037494565491,0.024,0.016483516483516484
E2 events + eligibility state,1,L1 logistic feature,event_false_break_high,-0.007311128129323851,0.9580037494565491,0.024,0.016483516483516484
E2 events + eligibility state,1,L1 logistic feature,event_false_break_low,-0.02757541418062786,0.9580037494565491,0.024,0.016483516483516484
E2 events + eligibility state,1,L1 logistic feature,event_impulse_pullback_cont_up,-0.23820074736927896,0.9580037494565491,0.024,0.016483516483516484
E2 events + eligibility state,1,L1 logistic feature,event_impulse_pullback_cont_down,-0.015755913884657566,0.9580037494565491,0.024,0.016483516483516484
E2 events + eligibility state,1,L1 logistic feature,event_immediate_reversal,-0.2538077263461848,0.9580037494565491,0.024,0.016483516483516484
E2 events + eligibility state,1,L1 logistic feature,event_range_expansion_strength,0.09035775475470868,0.9580037494565491,0.024,0.016483516483516484
E2 events + eligibility state,1,L1 logistic feature,event_body_ratio,-0.13069984008121363,0.9580037494565491,0.024,0.016483516483516484
E2 events + eligibility state,1,L1 logistic feature,event_bar_direction,-0.08126004629347193,0.9580037494565491,0.024,0.016483516483516484
